category,subject,statement,date_as_written,date_iso,citation,verbatim_quotation
event,Papa,A large lump came out through his cheek; fears more metastases; radium scattered the trouble; 'This last will be four',Sept 1923,1923-09,04-049-P05; 04-050-P02; 04-050-P03; 04-050-P05,"A large lump came out through my cheek, and there is another to follow not so large. ... The thing I fear is that more Metastases may set up — / The radium had scattered the trouble into my cheek ... This last will be four that has been caught up with"
money,Papa,Trip would cost $100; wants all debts at home paid,Sept 1923,1923-09,04-051-P04,You may have to come out here; and it will take a hundred dollars to cover the trip; and I want all debts at home paid so as to know how best to do.
event,Papa,Cannot come back by Nashville because of the altitude over the Cumberland Mountains; Anna's visit,Sept 1923,1923-09,04-052-P03,No! I cant come back by Nashville. I would not risk the altitude over the Cumberland Mountains. I am glad Anna stopped to see you.
event,Papa,'you are all I have that is best to live for'; car cranking days over,Sept 1923,1923-09,04-053-P01,"I would love for you to be here, for I get very blue and lonesome at times, and you are all I have that is best to live for. With the number of my years I cant stay here long ... my car cranking days are over."
person,Allie; Dr Bird,Allie leaves to run a dormitory; George staying with Dr Bird,Sept 1923,1923-09,04-054-P02,Allie leaves tomorrow for [[illegible]] to run a Dormitory. I am staying with Dr Bird. Papa.
place,Zella Douglas,"Envelope postmarked Union City, CA., 7 Sept 1923, to Zella Douglas, Red Oak",SEP 7 1923,1923-09-07,04-055-P01; 04-055-P02,Zella Douglas / Red Oak — / Texas — / UNION CITY / SEP 7 / 12:30 AM / CA. / 1923
person,Mrs Henderson; Ernest; Bruce; Ira; Van,Household at Union City; Ernest's cotton; Bruce may want the car; Ira's condition,Thursday 6 [Sept 1923],1923-09-06,04-056-P03; 04-057-P03; 04-058-P02; 04-058-P03; 04-075-P01,"I gave Mrs Henderson the suit case. ... If Ernest wants to kill one and peddle it out ... If Bruce wants the car very much, he will get rid of his and buy ... Very sorry to hear of Ira's condition. ... Have Ernest and Van to make a careful estimate of the cotton crop in Bales."
money,Union City prices,"Apples $1-1.50/bushel, cider 50c-$1/gallon, pears $1-1.50/bushel",Sept 1923,1923-09,04-059-P02,Good apples here sell from a dollar to a dollar and a half per bushel. Cider fifty cents to a dollar per gallon. Pears 1.00 to 1.50 per bushel.
event,Papa,Last plug removed; hole in cheek made by the cancer coming out; lump under chin like a small butter bean,"Friday, 9. A. M.",,04-061-P02; 04-061-P03; 04-062-P02,"The last plug is removed, and future treatments not needed unless more Metastasis sets up. ... It will take a long time to heal the hole in my cheek made by the cancer coming out ... The lump under my chin is gradually getting less, thinner and flatter, about like a small butter bean."
person,Mr. Ridley; Mrs. Johnson,Fellow patients,,,04-063-P02; 04-063-P03,Mr. Ridley is improving right along ... Mrs. Johnson is getting along very slowly.
event,Papa,"House repairs: ceil, paper or paint; about fifty dollars; Ernest to bring lumber for scaffolding",Wednesday 11-23-,,04-066-P01; 04-067-P01; 04-068-P01,"There is three ways to stop this. Ceil over the old ceiling with new lumber, paper or paint the walls. ... Oil, paint, and putting it on, will likely cost about fifty dollars"
event,Papa,Labor scarce; racial remark retained as documentary text,,,04-069-P01,"White folks wont work [[inserted: or dont work]], and niggers are scarce. I do not know when I have seen a white man hunting work."
place,Zella Douglas,Envelope Union City GA [sic] AUG 30 1923,AUG 30 1923,1923-08-30,04-071-P02,UNION CITY / AUG 30 / 6 PM / GA / 1923
event,Papa,Aug 30 1923: most of the cancer came out; home maybe middle of October,Aug 30 - 1923,1923-08-30,04-072-P01,"Most of the cancer came out, a little left, cant tell just how much. ... If no further trouble comes up, and I stay until fully healed, it may be the middle of October"
money,Papa; Mr. Ligon; Guaranty Trust bank of Waxahachie,Note due 11 Sept at Guaranty Trust bank; tax receipt to Farrar and Kemble attorneys for the suit in the [[Funds?]] tax business; Buord Farrar attorney,Aug 30 1923,1923-08-30,04-073-P01; 04-074-P01,"go to Mr. Ligon, get the note on The Guaranty Trust bank of Waxahachie, due the eleventh day of September ... take it Farrar and Kemble attys, and leave with them. They may want / it as evidence in the suit pending in the [[Funds?]] tax business. / Then tell Buord Farrar to check on Red Oak for what funds he may have to have in my case as attorney."
person,Stoker,Made an awful charge overhauling the machine,Aug 1923,1923-08,04-076-P01,Stoker made an awful charge. Did he itemize it? He must have overhauled the whole machine.
person,Allie,Going to Gunter to take charge of a dormitory; she has cancer,Aug 1923,1923-08,04-076-P01,"Allie is making ready to go to Gunter, take charge of a Dormitory, and put the children in school. ... She has cancer"
event,Duckworth; the A.W.,Duckworth made business manager of the A.W.; circular calling for help to print it,Aug 1923,1923-08,04-077-P01,"Duckworth has been made business manager of the A.W. He has put out a circular letter to the brethren, calling for help to print it in Texas saying he has no money and that the paper has none"
relationship,Henry Douglas; N. L. Douglas,"Identifying slip: letter to Mr. N. L. Douglas from son Henry, Palestine; a second slip: letters by Henry and Ellen Douglas","Sept. 8, 1851",1851-09-08,04-078-P01; 04-078-P02,"To Mr. N. L. Douglas / from son, / Henry Douglas / Palestine, Texas / Sept. 8, 1851 / Letters written by / Henry and Ellen Douglas"
relationship,Henry Douglas; sister Rebecca,Henry writing to 'sister Rebecca',Sept. 8th 1851,1851-09-08,04-079-P01,"I have just been writing to sister Rebecca, and scolded a good deal with [[her?]] for none of you writing to me"
place,Henry Douglas,"Palestine (Anderson County) sickly for two months, more than he ever saw in Ellis Co.; Old Mr Benson",Sept 1851,1851-09,04-079-P01,"This County although reputed to be one of the healthiest in the State, has been very sickly for two months past, more so than I ever saw it in Ellis Co. I think that Old Mr Benson is nearly willing to try the [[illegible]] again"
money,Henry Douglas,"Quit Mr Dale; helping [[Hedlie?]] a large livery stable; wages $1.50 per day, board $10 per month; carpenters' opening; journeywork or undertaker",Sept 1851,1851-09,04-080-P01,"I quit working for Mr Dale about a month ago ... I am now helping [[Hedlie?]] a large Livery Stable, my wages are $1,50 cts pr day, but after subtracting $10 pr month for board & washing, the amount is considerably diminished. There is going to be a very good opening for carpenters here this coming Winter and Spring, and I am somewhat at a loss whether to continue journeywork or turn out undertaker"
church,Christian Church at Palestine,Resolved to build a house of worship 56 by 34 feet,Sept 1851,1851-09,04-080-P01,The Christian Church at this place have resolved to build a house of worship as soon as lumber can be procured. It will be 56 ft long & 34 wide
person,Mr Mallard,Bound for old Rutherford; wife wants Tennessee,Sept 1851,1851-09,04-081-P01,"I was at Mr Mallards house a time ago, he says he is bound for old Rutherford as soon as he can get off ... his wife is very much dissatisfied and cant hear to nothing else but going back to Tenn."
church,Susannah,Henry rejoices at Susannah's [obedience to] the Truth,Sept 1851,1851-09,04-081-P01,"Nothing gratified me more than to hear of Susannahs [[illegible]] the Truth, may she hold out faithful to the end is my sincere prayer. O that all the Family that have arrived at the years of discretion were gathered into the fold of Christ."
relationship,Ellen Douglas; Lizzie Douglas,Slip: to Sister Lizzie Douglas from Ellen Douglas,"Jan. 12, 1862",1862-01-12,04-082-P01,"To Sister Lizzie Douglas / from / Ellen Douglas / Jan. 12, 1862"
event,Ellen Douglas,"Christmas 1861 at her cabin: cake, pies, egg nog, 14 young people; young men left for the war",Jan. 12 1862,1862-01-12,04-083-P01,I had plenty of cake and pies at my cabin Christmas day and a big Egg nog. ... I looked out and saw 14 young men and girls riged out comeing ... all the week after which most all the young men left for the war.
person,[[Gaskin?]]; Angus; Maggie; Sister Fleming; heath,Ellen's children and household,Jan 1862,1862-01,04-083-P01; 04-084-P01,[[Gaskin?]] had a chill last week and now has very sore eyes he is walking and is as pretty as any bodys boy he can talk now as good as Angus. Maggie is growing fast and will be another Sister Fleming ... my man Angus is as fat as a pig
event,Warren; Beck,Warren gone to Deer Creek to move Beck there; going to the war as soon as she is confined; baby expected 5-11 Feb 1862,Jan 1862,1862-01,04-084-P01,"Beck has not been very well ... Warren had gone to deer creek to see about moveing her there as he is going to the war as soon as she is confined they will not break up housekeeping until after that, she is expecting about the 5 to the 11 of Feb."
relationship,Beck (Rebecca); Warren,Warren tried to get some of her sisters to stay with her; Ellen offers,Jan 1862,1862-01,04-084-P01,Warren tryed to get some of her sisters to come home with him and stay a while with her but they could not leave home
place,Ellen Douglas,Living in Sam's cabin; Sue's house commenced,Jan 1862,1862-01,04-084-P01,we are still in Sams cabin I expect I will remain here some time yet ... Tell Sue I am glad to hear of her hopes being realized that is her house comenced
person,Amanda Berry; Lizzie West,Neighbours who want letters from Laura,Jan 1862,1862-01,04-085-P01,tell Laura the last time I saw Amanda Berry she asked about her and said she must write to her Lizzie West was here not long ago
event,Warren; Beck,Warren will leave as soon as Beck is able to be moved to her father's,Jan 1862,1862-01,04-085-P01,I recon you will all come now to see Warren before he goes off he will leave as soon as beck is able for him to move her to her fathers.
land,H. Douglas,Went to Brushy to secure 'the Land' but failed to get the certificate; dated Buchanan,Jany 15th 1862,1862-01-15,04-086-P01,"I started yesterday to Brushy to see if I could secure the Land [[illegible]] you, but failed to get the certificate him as I expected ... Buchanan Jany 15th 1862 H. Douglas"
unit,Warren,Warren likely to get off in February; company not yet chosen,Jan 1862,1862-01,04-086-P02,Warren is likely to get off in Feb — does not know what Co he will join yet
money,H. Douglas,Wool sent to Shreveport netted 26 cents,Jan 1862,1862-01,04-086-P03,I sent [[752?]] lbs wool to Shriveport it netted 26 cts
relationship,Henry Douglas; Lizzie,"Slip: to Sister Lizzie (possibly while in California) from Henry Douglas, Red Oak","Sept. 6, 1892",1892-09-06,04-087-P01,"To Sister Lizzie / (possibly while in California) / from Henry Douglas / Red Oak, Texas / Sept. 6, 1892"
church,Henry Douglas,On irreligion in California; 'California & Sodom & Gomorrah are not unlike',Sept 6 1892,1892-09-06,04-088-P01,"I do not now wish to say anything only to regret, nay lament such a condition of irreligion as portrayed in your letter Surely California & Sodom & Gomorrah are not unlike / A day in the courts of the Lord is surely worth a thousand in such a place"
church,Liberty; Bros Cole & Graves,Good meeting at Liberty; Clarence & Kate obeyed the gospel; they will be 14 on 8 Sept [1892],Sept 1892,1892-09-08,04-089-P01,We have just had a good meeting at Liberty conducted by Bros Cole & Graves / You will rejoice with me that Clarence & Kate obeyed the gospel. They will be 14 the 8th inst
person,Otis Maynard?; Lee Weatherford?; Robbie Sullivan?; Jesse Graves; Mrs Bur Pratts?,Others added at the meeting; 'your son',Sept 1892,1892-09,04-090-P01,"Also your son, [[Or. Otis Maynard?]] Lee [[Weatherford?]] Robbie [[Sullivan?]] Jesse Graves & Mrs [[Bur Pratts?]] & others unknown to you"
event,Crops 1892,"Corn good, wheat and oats fine, cotton average; Mr Ward a good renter for Lizzie",Sept 1892,1892-09,04-090-P01,Our Wheat & Oats were fine & Cotton a good average Many are picking & the gin whistles are beginning to sound ... Mr Ward has a good crop for you I think he is a good renter
person,Henry Allen; Sam Strand?; Mrs Bell; Mrs Thuston?; Dr Duff; Henry Orr,Tenancy changes,Sept 1892,1892-09,04-090-P01,Henry Allen is going to move to Hood County near Acton & Sam [[Strand?]] has rented Mrs Bells place Mrs [[Thuston?]] has rented Dr Duffs & her son in law [[Surren?]] Henry Orrs place
person,Jodie,In bad health; went to Erath Co.; Greer Co. crops failed,Sept 1892,1892-09,04-091-P01,Jodie is in bad health as usual & started yesterday to Erath Co. Greer Co failed on crops this year
event,Billy Davis,Fell off his wagon near Palmer,Sept 1892,1892-09,04-091-P01,Billy Davis fell off his wagon [[illegible]] [[near?]] [[Palmer?]] about 10 days ago.
person,Tom & Laura; John & Ann; Sue; Kate; Mr & Mrs Barton,Family in California and Brushy,Sept 1892,1892-09,04-091-P01,Give my love to Tom & Laura & family & also to John & Ann ... Sue will probably teach in Brushy this winter & I will send Kate to her / Give to Mr & Mrs Barton / Your brother Henry
relationship,Henry Douglas; Mary Douglas,"Slip: to Mrs Mary (N. L.) Douglas from Henry, Palestine, Dec. 30 1853 (letter reads Dec. 3d)","Dec. 30, 1853 / Dec. 3d 1853",1853-12-03,04-092-P01; 04-093-P01,"To Mrs Mary (N. L.) / Douglas / From Henry Douglas. / Palestine, Tex / Dec. 30, 1853 ... Palestine Dec. 3d 1853 / Dear Mother"
event,Jepse; Warren,Gone out on the Brazos; Warren's second trip,Dec 1853,1853-12,04-093-P01; 04-094-P01,"I learned from him some of the particulars about home, & amongst the rest, that Jepse & Warren had gone out on / Brazos. ... Warren has been writing a little about his trip to the Brazos, but only casually alluded to his second trip"
person,David Gaslin,Met at Bonners ferry on Trinity,Dec 1853,1853-11-28,04-093-P01,"I had however the pleasure of meeting with David Gaslin, at Bonners ferry on Trinity, last monday evening"
church,Palestine cooperation meeting,About $450 subscribed for evangelizing; committee of 5 managers; Bro. Kendrick preached; [[6?]] baptized incl. Addison son of Bro Clark and Albert son of Bro. K,Dec 1853,1853-11,04-094-P01; 04-095-P01,"The Co-operation will, I think be quite effective; about 450 dols were subscribed for evangelizing purposes ... Bro. Kendrick had all the preaching to do. There were [[6?]] baptized & one other added to the Church 2 of them were little boys, one, Addison, son of Bro Clark aged about 12 years the other Albert, Bro. K's oldest son about 10 years old."
place,Mrs Mary Douglas,Address Red Oak Texas,1853,1853,04-096-P03,Mrs Mary Douglas / Red Oak Texas
relationship,Henry Douglas; N. L. Douglas,"Slip: to N. L. Douglas from Henry Douglas, Palestine","Jan. 12, 1855",1855-01-12,05-002-P01,"To N. L. Douglas / from Henry Douglas / Palestine, Tex. / Jan. 12, 1855"
event,Henry Douglas,"Left home in October [1854]; decided to remain in Palestine one more year; partnership with Dr Kendrick, one-third of accounts and expense",Jan. 12 1855,1855-01-12,05-003-P01,"I concluded to remain here one year longer, & risk the consequences. Dr Kendrick & myself have formed a partnership for the year. I get ⅓ of the accounts, & am at ⅓ the expence, pay my board & furnish my own horse"
person,Old Mr Ransom,Known to N. L. Douglas; will try Dr K.,Jan 1855,1855-01,05-004-P01,"Old Mr Ransom, (whom I take to be a man of strong prejudices) has declared his intention to try Dr K when next he wants a physician. ... I mention him, as he is known to you"
event,Henry Douglas,Wrote to Warren of a cancer case; promises a visit in April,Jan 1855,1855-01,05-004-P01,"I wrote to Warren, of a Cancer case we have on hand ... I think I can venture to promise you a visit in the Spring, say April."
relationship,Henry Douglas; Mary Douglas; Susannah,Letter from Mary and Susannah; Uncle Sam's court engagements; Jepie's and Warren's absences; Susannah to come down with Henry,"Ap. 8, 1853",1853-04-08,05-006-P01,"The letter from yourself & Susannah, came by last mail ... I recd a letter from Uncle Sam a short time ago, suggesting the 1st of May ... in consequence of his engagements, at court in April & also Jepie's & Warrens absences ... I am pleased that Susannah has consented to come down with me"
event,Henry Douglas; N. L. Douglas,Parting from Father near the Willow pond; walked to Porters Bluff,before Apr 1853,,05-007-P01,"I know that while memory lasts I shall never forget the day when I parted from Father, in the wide lonely prairie, near the Willow pond, his parting advice, & the loneliness of the subsequent hours in walking to Porters Bluff. Never till then had I felt so isolated; never had I felt what it was to be homeless, houseless, & in effect, friendless"
event,Weather 1853,Dry; corn frostbitten; wheat feared ruined,Apr 1853,1853-04,05-007-P01,"The weather has been very dry with us, for a long time, & crops are suffering greatly for rain. Corn has been badly frostbitten ... I fear the wheat has been ruined, with you."
relationship,aunt Cynthia,Postscript: remember me to [[Un.?]] & aunt Cynthia,Apr 1853,1853-04,05-007-P02,P.S. Give my love to all. Remember me to [[Un.?]] & aunt Cynthia. &c &c / H.D.
event,Henry Douglas,"Slip: driving a herd of sheep to Texas from Mississippi County, Missouri","June 23, 1860",1860-06-23,05-008-P01,"To N. L. Douglas / from / Henry Douglas / Mississippi County, / Missouri / June 23, 1860 / — re driving herd of / sheep to Texas"
money,Henry Douglas; Willis Helm,Paid $1-2 per sheep; Willis Helm sent $500; with $1500 bought 750 head; about $200 left,June 23d 1860,1860-06-23,05-009-P01,I have had to pay from 1 to 2 dollars for sheep ... Mr Willis Helm sent $500 by me to get him some sheep & with the 1500 I have bought 750 head & do not know that I will have money enough to get them to Tex. as I only have some 200 left.
place,Henry Douglas,Bought sheep in Callaway & Graves Co's Ky and Christian Co; crossed the Mississippi at the Iron Banks; ferriage 8 cts per head,June 1860,1860-06,05-009-P01,I bought common sheep in Callaway & Graves Co's Ky purchase lambs at 1 & Ewes at 1.25 per head ... went back to Christian Co & got some 250 head at 1.75 & 2 per head ... I crossed the Mississippi at the Iron Banks last Sunday & had to pay 8 cts per head ferriage
event,Sheep drove,Lost near 50 head; disease; a drove from Rutherford Co Tennessee passed,June 1860,1860-06,05-009-P01; 05-010-P01,Several have died & altogether I have lost near 50 head since I started ... A few days ago a drove of 7 or 800 passed from Rutherford Co Tennessee & lost a great many.
money,Henry Douglas,4 hands hired at $15 per month; route via Fort Gibson ferry on the Arkansas and Springfield Mo.,June 1860,1860-06,05-011-P01,I have 4 hands hired at 15 dollars per month each & taking all together I cannot make the drove profitable if I do not lose by it. I have not heard from any of you since I left Texas nor have I heard from Ellen since I left Lincoln County. ... I suppose I will reach Springfield Mo. in 30 or 40 days
person,Ellen,Henry has not heard from Ellen since leaving Lincoln County,June 1860,1860-06,05-011-P01,nor have I heard from Ellen since I left Lincoln County
money,Samuel Wallace; N. L. Douglas,Promissory note: five barrels corn or four dollars by 25 Dec next,2nd Oct. 1832,1832-10-02,05-012-P02,"By the 25th December next I promise to pay to N L Douglas at his house five barrels corn, or four Dollars, value recd this 2nd Oct. 1832. / Samuel Wallace [[seal]]"
event,James Bass; N. L. Douglas,Business letter from Murfreesboro; two to three years since he heard from Douglas about 'our business',April 18 /54,1854-04-18,05-014-P01,It has been about two years since I heard from you in relation to our business — it has been I believe nearly three years.
land,James Bass; Gen. A. Sublett,"Bass bought the balance of the Littleton White tract, about 3250 acres; wants Douglas to see whether taxes are paid; Louis Dickson tract on the Trinity at the mouth of five mile creek",April 1854,1854-04-18,05-014-P01,I have bought lately of Gen. A. Sublett the balance of the Littleton White tract of Land — the purchase embraces about thirty two hundred & fifty acres — You know where it is situated & I want you to see to it. See whether the Taxes are paid ... the Louis Dickson tract of Land on the Trinity River ... I believe the Land is at the mouth of the five mile [[deleted: branch?]] [[inserted: creek]]
place,Nathaniel Douglas,"Addressed 'Nathaniel Douglas, Red Oak Post Office, Texas'",1854,1854,05-015-P02,Nathaniel Douglas / Red Oak Post Office / Texas.
money,[[S. A.?]] Farrar; F. L. Farrar; G. A. Sublett,Note for $520 to Sublett due 1 March next; $15 received by N. L. Douglas for Sublett; endorsed to Mr [[Ledbetter?]],12th day of October 1852; April 20th 1853; 1852 oct 28th,1852-10-12; 1853-04-20; 1852-10-28,05-017-P01; 05-018-P01; 05-018-P03,On or before the first day of March next I promise G. A. Sublett to pay him or order Five Hundred and twenty Dollars value received ... This the 12th day of October 1852 / [[S. A.?]] Farrar / F. L. Farrar ... April 20th 1853 / Received on the within Note Fifteen dollars. N L Douglas / for G. A. Sublett ... Pay the within to Mr [[Ledbetter?]] ... 1852 oct 28th / Geo A Sublett
land,N L Douglas as agent for G A Sublett; W. B. McCabe,"Redemption of 1280 acres on Subletts Creek listed to A J Porter, sold for 1848 taxes on 4 Feb 1850 to C M Winkler; tax and cost $14.48; Winkler releases claim 31 Jan 1851",23d day of January 1851,1851-01-23,05-020-P01; 05-020-P02; 05-021-P01; 05-021-P02,Rit of Revocation / of / A J Porter 1280 acres / Land Taxes & cost / paid up to 1850 / Tax and cost $14.48 ... N L Douglas as agent for G A Sublett has this day paid me the amount of Tax and Cost of Sale and one hundred per cent there and as required by Law for the Redemption of 1280 acres of Land lying on Subletts Creek and sold by me for the Taxes for the year 1848 [[inserted: and listed to A J Porter]] on the fourth day of February AD 1850 and purchased by C M Winkler ... W. B. McCabe [[seal]] / assessor & collector / for the county Navarro ... I ratify and sanction the doings of W. B. McCabe ... Jany 31st 1851 / C M Winkler
money,[[S W?]] Webber; N. L. Douglas,Due bill for five dollars,January. 21st 1829,1829-01-21,05-022-P02,Due N. L. Douglas or bearer five dollars value received. January. 21st 1829. / [[S W?]] Webber
land,Geo A Sublett; N L Douglas,"Power of attorney from Sublett of Rutherford County, Tennessee to 'my friend N L Douglas of Ellis County' to sell lands in Dallas, Ellis and Navarro counties; conveyance to Mr. Farro of 640 acres; to Ephraim Andrews & Co. 540 acres in two surveys",28th October 1852,1852-10-28,05-025-P01,"I Geo A Sublett of the County of Rutherford and State of Tennessee have nominated and appointed, made and constituted my friend N L Douglas of Ellis County State of Texas, my true and lawful attorney for me, and in my name to bargain Sell Grant and convey ... any part or all of the lands that, I own in the State of Texas — in the Counties of Dallas, Ellis, and Navaro ... likewise to make proper conveyance to Mr. Farro for a tract of Six hundred and forty acres heretofore Sold him, also to Ephraim Andrews & Co. Five hundred and Forty acres in two Seperate Surveys."
land,Benj F Hawkins,Clerk of the County Court of Ellis County; power of attorney recorded 8 Nov 1852 in Deed Record A page 163,29th day of October AD 1852; November 8th A.D. 1852,1852-10-29; 1852-11-08,05-026-P01; 05-026-P02,Benj F Hawkins Clerk of the County Court of Ellis County ... the within power of attorney was duly duly Recorded November 8th A.D. 1852 at 9 O.clock A.M. in Deed Record A page 163.
event,G. Douglas,Typed poem 'There is a lonliness of heart' dated 1867,1867,1867,05-027-P01; 05-027-P02,"There is a lonliness of heart / No words can ere express, / Too deep for sorrow's tears to start / To relieve the aching breast. ... 1867 G. Douglas"
land,Robert Crow; G A Sublett,"Crow of Leon County sells 1280 acres (Jasper County certificate 2d Class No 246 of 10 Jan 1840) to Sublett for $160; acknowledged before David M. Brown, Chief Justice, 22 May 1849; recorded Navarro Co. Book A pp. 433-34 on 14 Dec 1849",19th day of May AD 1849,1849-05-19,05-029-P01; 05-030-P02; 05-031-P02,"I Robert Crow for and in consideration of the sum of one hundred and Sixty dollars to me in hand paid by G A Sublett ... all that tract lot or parcel of land containing twelve hundred and Eighty acres being the same secured to me the said Crow by virtue of a certificate issued by the board of land commissioners for Jasper County on the tenth day of January AD 1840 — 2d Class No 246 ... Before me David M. Brown Chief Justice and Exofficio Notary public ... Recorded the 14th day of December A.D. 1849 in Book A, pages 433 & 34 / R [[H?]] White Clk Navarro Co"
money,N L Douglas as agent for G A Sublett,"Redemption of 640 acres granted to Robert Crow, sold 25 July 1850 for 1849 taxes; total $3.08; W B McCabe, 3 Feb 1851; recorded Navarro Book C p. 181",3d day of February AD 1851,1851-02-03,05-033-P02; 05-033-P03; 05-033-P05; 05-034-P02,N L Douglas as agent for G A Sublett has this day paid to me the undersigned assessor & Collector ... for the Redemption of 640 acres of Land granted to Robert Crow and Given in by G A Sublett for Taxes for the year 1849 and Sold by me for the Taxes for the year 1849 on the 25th day of July AD 1850 and bid off to the State ... Total amount of all | $3.08 ... this 3d day of February AD 1851 / W B McCabe
relationship,Sarah Gail (Douglas) Headrick; Lizzie Douglas,"Slip: to Miss Lizzie Douglas from niece Sarah Gail (Douglas) Headrick, Bardsdale, Calif; envelope 'from Sadie' to Miss Lizzie Douglas, Ferris, Ellis Co.","[[Sat?]] 29, 1893; postmark AUG 9 [[1894?]]",1893-09-29,05-035-P01; 05-035-P02; 05-035-P03,"To Miss Lizzie Douglas / from Niece / Sarah Gail (Douglas) Headrick / Bardsdale, Calif / [[Sat?]] 29, 1893 ... from Sadie / Miss Lizzie Douglas / Ferris / Ellis Co. / Texas / BARDSDALE AUG 9 [[1894?]] CAL."
event,Sadie Headrick,Letter from Bardsdale; 'haven't had a break down since I wrote last'; sitting-room furnishings; the store,"Sep, 29th, 1893",1893-09-29,05-036-P01; 05-036-P02; 05-036-P03,"Bardsdale, Sep, 29th, 1893. / My Dear Aunt:—I finished up my morning work pretty well this forenoon ... I am still better—haven't had a ""break down"" since I wrote last."
person,Bruce; Elmo; Mr. Headrick,Sadie's children Bruce and Elmo; Mr. Headrick down with his back; Grandma [[Chadens?]]'s house; Mrs. [[Scholl?]] to Kansas,Sept 1893,1893-09,05-037-P01,"One day he came from the P.O. & said ""Grandma [[Chadens?]] house isn't togezzer is it Mamma?"" ... Mr. Headrick has been down with his back, for two weeks ... Mrs. [[Scholl?]] started back to Kansas the 19th."
event,Sadie Headrick,"Dreamed of the old homestead, telling 'you & Grandma my troubles', and of Uncle [[George?]]",Sept 1893,1893-09,05-038-P01,"I dreamed, last night of being at the old homestead, & telling you & Grandma my troubles, as I was wont to do in by-gone days & also of seeing Uncle [[George?]] ... A few nights before I dreamed of Grandma."
event,Elmo,Elmo's joke about Mr. [[McKie's?]] cow,Sept 1893,1893-09,05-039-P01,"along came Mr. [[McKie's?]] cow—Elmo remarked if that cow was married, she would have a calf. (with her he meant) Making that a [[test?]] most of the California cows are unmarried."
church,Advocate; D. L.; Uncle Geo.; Bro. Polly,Article in the Advocate of April 13 by D. L.; Uncle Geo.'s announcement of the [[Elmwood?]] camp-meeting; Bro. Polly's meetings,1893,1893,05-040-P01,"There is a thought contained in the piece headed ""A [[Lyffe?]]"" (in Advocate of April 13th) by D. L. ... Saw in my last paper, the announcement, by Uncle Geo. of the [[Elmwood?]] camp-meeting—How I wish I could attend as of old. Remember me to Bro. Polly"
person,Kate [[Larson?]]; Mr. H.,Kate stayed while Mr. H. went to Los Angeles; 20 dozen eggs to count,1893,1893,05-041-P01,"Last week Mr. H. went to Los Angeles—Kate [[Larson?]] staid with me, Bruce was sick with cold & fever ... in came over 20 doz. eggs to be counted"
church,Sadie Headrick,Refuses life insurance on religious convictions,1893,1893,05-043-P01,"a Life Insurance Agent & tried to get me to influence Mr. H. to insure. I told him 'twas against my religious convictions He said ""christianity would never keep you from starving to death besides the majority of christians favored it"" I told him the ""majority"" were on their way to perdition too."
person,Mrs. Timmons; Ellen,Mrs. Timmons abed with nervous prostration; 'Now you & Ellen shake your sides',1893,1893,05-044-P01; 05-044-P02,"Now you & Ellen shake your sides. / Last monday week, I went up to Mrs. Timmons & found her abed with nervous prostration"
relationship,(Sarah) Sadie Gail Douglas Headrick; Lizzie Douglas,"Slip: to Miss Lizzie Douglas (aunt) from Sadie, Bardsdale, Aug. 8",Aug. 8,,05-046-P01,To Miss Lizzie Douglas / (aunt) / from / (Sarah) Sadie Gail / Douglas Headrick / Bardsdale / Aug. 8
person,Grandma Humphrey; Dr. [[Hinckley?]]; Drs. Bard and Mott,Grandma Humphrey's growth; operation,August 8th,,05-047-P01,"Grandma Humphrey's growth increases, and is so bad she has difficulty in breathing—consequently has consented to have an operation performed ... Dr. [[Hinckley?]] is back now and he Drs. Bard and Mott, are to do the work."
event,Picnic at Mr. Grimes',Mr. Wigmore's cart; Mrs. Pickering; Mr. Henry Chadsey in Mrs. [[Curren's?]] surrey; Lillie Chadsey,August,,05-047-P02; 05-048-P01,"We had our picnic at Mr. Grimes, last saturday ... if I didn't go down and ask Mr. Wigmore for his cart ... I found Mrs. Pickering hardly able to be out of bed ... down came Mr. Henry Chadsey in Mrs. [[Curren's?]] surrey, for us. Lillie Chadsey had inquired of several why I wasn't there ... They had lemonade and ice-cream. two swings a set of croquet, and a game of baseball."
event,little [[Beckie's?]],Married at Santa Paula on her 18th birthday to Mr. [[Reck?]] [[Lehock?]] unbeknown to her father; Grandma Roberts,the 4th,,05-048-P01,"That was the 4th, and little [[Beckie's?]] birthday, and what think you, she went to Santa Paula with Mr. [[Reck?]] [[Lehock?]] and married him unbeknowing to her father. ... It was her 18th birthday. ... Grandma Roberts spent last sunday night with us."
money,Sadie Headrick,Earned $4.50 pitting fruit,August,,05-048-P01,Well I must tell you that I earned $4.50 pitting fruit. A handsome amount for me.
place,Mrs. Sara Headrick,"Envelope to Mrs. Sara Headrick, Red Oak, Texas; postage due 2 cents; postmark [[SANTA BARBARA CAL.?]] APR 27 1921",APR 27 1921,1921-04-27,05-049-P01; 05-049-P02,Mrs. Sara Headrick / Red Oak. / Texas. / POSTAGE DUE 2 CENTS / [[SANTA BARBARA CAL.?]] APR 27 6:30 PM 1921
person,Mrs. Weatherford; Cousin Sarah Jeter,Warning about 'that son of hers',,,05-050-P01,"I think I have heard Mrs. Weatherford speak of Cousin Sarah Jeter, and I must caution you right here, not to allow your-self to become too much infatuated with that son of hers"
