page_id	source_pdf	scan_page	kind	transcript_blocks	unresolved_items	review_level	editorial_note
06-096	ACU CRS MS5 - 06 - Folder 3, Correspondence and Legal Papers.pdf	96	later label	1	0	initial_image_reading	The manuscript itself is numbered 13 (scan page 97), while the later descriptive slip reads 18.
06-097	ACU CRS MS5 - 06 - Folder 3, Correspondence and Legal Papers.pdf	97	manuscript	3	0	initial_image_reading	
06-098	ACU CRS MS5 - 06 - Folder 3, Correspondence and Legal Papers.pdf	98	manuscript	4	5	focused_image_review	Two facing pages, read left then right. The left leaf ends with “you” in the inner margin. The right leaf continues on scan page 99 at “Technical terms.” The visit is by Bob and his lady; the uncertain surname is marked. Historical racial terminology is retained.
06-099	ACU CRS MS5 - 06 - Folder 3, Correspondence and Legal Papers.pdf	99	manuscript	5	4	initial_image_reading	Continuation of scan page 98. The closing runs up the right edge and across the top; part remains unresolved. There is no secure signature reading here.
06-100	ACU CRS MS5 - 06 - Folder 3, Correspondence and Legal Papers.pdf	100	later label	1	0	initial_image_reading	Date on the following letter’s heading appears to read August 18th rather than the 19th on this descriptive slip.
06-101	ACU CRS MS5 - 06 - Folder 3, Correspondence and Legal Papers.pdf	101	manuscript	3	10	focused_image_review	Faded letter opening; several names and clauses remain unresolved. The heading’s day is uncertain and differs from the later descriptive slip. Margin writing is fragmentary. Continues on scan page 102.
06-102	ACU CRS MS5 - 06 - Folder 3, Correspondence and Legal Papers.pdf	102	manuscript	2	10	selected_passages_image_adjudicated_2026_09	Continuation of scan page 101. Some wording in the pale upper section is uncertain; no names have been expanded. Continued on scan page 103.
06-103	ACU CRS MS5 - 06 - Folder 3, Correspondence and Legal Papers.pdf	103	manuscript	3	2	selected_passages_image_adjudicated_2026_09	Signature reads Sue. Margin partly uncertain. The letter reports the child as dying and then gives a retrospective age statement; both are retained. The word before “it with white rock” remains tentative.
06-104	ACU CRS MS5 - 06 - Folder 3, Correspondence and Legal Papers.pdf	104	manuscript	3	3	focused_image_review	Change of correspondent from Sue on scan page 103 to Lizzie. Uncertain personal names in the opening sentence are marked. The expression “same old Seven and six” is retained as read.
06-105	ACU CRS MS5 - 06 - Folder 3, Correspondence and Legal Papers.pdf	105	later label	2	0	initial_image_reading	Two later descriptive slips. Their family identifications are transcribed as annotations in the source, not as newly verified genealogical conclusions.
06-106	ACU CRS MS5 - 06 - Folder 3, Correspondence and Legal Papers.pdf	106	manuscript	3	3	initial_image_reading	Dark reproduced band across the middle obscures several lines. The surviving prose resumes as an incomplete sentence. Two forms of the deceased’s given name occur in the later labels; “Gail” is the reading here.
06-107	ACU CRS MS5 - 06 - Folder 3, Correspondence and Legal Papers.pdf	107	manuscript	3	8	focused_image_review	Continues scan 106. A dark horizontal band obscures part of the transport account. The opening report of Austin’s remarks and the sentence about Jones meeting the soldiers remain partly unresolved. The final marginal continuation is unread.
06-108	ACU CRS MS5 - 06 - Folder 3, Correspondence and Legal Papers.pdf	108	later label	1	0	initial_image_reading	
06-109	ACU CRS MS5 - 06 - Folder 3, Correspondence and Legal Papers.pdf	109	manuscript	5	1	initial_image_reading	
06-110	ACU CRS MS5 - 06 - Folder 3, Correspondence and Legal Papers.pdf	110	manuscript	5	5	initial_image_reading	Small marginal writing is incomplete. Nancy’s surname is uncertain. Medical descriptions and opinions are reproduced as historical statements by the correspondent.
06-111	ACU CRS MS5 - 06 - Folder 3, Correspondence and Legal Papers.pdf	111	manuscript	2	3	uncertainty_annotation	Sectarian opinions are the writer’s own. Uncertain personal names remain marked in the text.
06-112	ACU CRS MS5 - 06 - Folder 3, Correspondence and Legal Papers.pdf	112	manuscript	3	4	selected_passages_image_adjudicated_2026_09	End of the letter begun on scan page 109. The word before “Saturday night” remains tentative. Capture or death of Fayette and Jim is reported without confirmation of either outcome.
06-113	ACU CRS MS5 - 06 - Folder 3, Correspondence and Legal Papers.pdf	113	later label	1	0	focused_image_review	Later descriptive slip; the surname is read as Winneford. The slip’s description is kept distinct from the letter.
06-114	ACU CRS MS5 - 06 - Folder 3, Correspondence and Legal Papers.pdf	114	manuscript	3	26	initial_image_reading	Opening page of a letter continuing on scan pages 115–116. Large faded areas and ink spots prevent a continuous reading. The separate top-margin addition is inverted relative to the main letter. The wording of the courtship discussion remains especially uncertain; no fluent reconstruction is supplied.
06-115	ACU CRS MS5 - 06 - Folder 3, Correspondence and Legal Papers.pdf	115	manuscript	3	49	initial_image_reading	Two facing leaves; left leaf followed by right. The right leaf continues on scan page 116 with “been here”. Very faint passages, names, and election details require comparison with the original. A narrow inverted marginal passage is unread.
06-116	ACU CRS MS5 - 06 - Folder 3, Correspondence and Legal Papers.pdf	116	manuscript	3	68	selected_passages_image_adjudicated_2026_09	Closing page of the letter begun on scan page 114. The opening paragraph is comparatively clear; much of the Saturday continuation is extremely faded. This is a partial transcription. Adjacent unread spans have not been assigned word counts. A new photograph of this leaf or consultation of the physical original is a priority. Image review September 2026. Whole-line inspection raises doubts about the surrounding sentence framework in P02, including the earlier literary discourse wording. P02 and P03 remain provisional as whole passages; the marked gaps are not the only potential errors.
06-117	ACU CRS MS5 - 06 - Folder 3, Correspondence and Legal Papers.pdf	117	manuscript	1	15	initial_image_reading	Irregularly torn fragment. Surviving lines are retained separately to show interrupted text. Initial words in several lines are faint as well as physically incomplete. No date is supplied here. The military news and executions are reported by the writer, not independently established by this edition.
06-118	ACU CRS MS5 - 06 - Folder 3, Correspondence and Legal Papers.pdf	118	manuscript	1	16	initial_image_reading	Reverse or companion fragment to scan page 117. The surviving line breaks are retained. The missing beginnings and endings have not been supplied. Names and the short quoted exclamation are tentative.
07-001	George Douglas Papers Folder 4- Correspondence.pdf	1	repository cover	1	0	initial AI visual reading of supplied scan	Modern repository cover, not manuscript text.
07-002	George Douglas Papers Folder 4- Correspondence.pdf	2	identifying slip and envelope	2	0	initial AI visual reading of supplied scan	A later catalog note is distinct from the original envelope. The envelope’s April 18 date does not alter the April 15 letter date.
07-003	George Douglas Papers Folder 4- Correspondence.pdf	3	letter	2	0	initial AI visual reading of supplied scan	Continues on 07-004. Deleted wording in the inland-place sentence is partly awkward and is reproduced rather than silently repaired. Post prisoners is the writer’s phrase; the event is not identified on this page.
07-004	George Douglas Papers Folder 4- Correspondence.pdf	4	letter continuation	4	0	initial AI visual reading of supplied scan	Main text continues on 07-005. Closing is copied where it appears physically, above the main text. The content of the allegedly treasonous ideas is not specified here.
07-005	George Douglas Papers Folder 4- Correspondence.pdf	5	letter continuation	4	3	initial AI visual reading of supplied scan	Main text continues on 07-006. The upper-margin remark is fragmentary and is not interpreted beyond what can be read. Gran is written without a surname.
07-006	George Douglas Papers Folder 4- Correspondence.pdf	6	letter continuation	6	16	initial AI visual reading of supplied scan	Cross-writing and a damaged upper margin obscure several words. Both directions have been read independently; unresolved words remain explicit. Some repeated or awkward wording in the religious reflection is retained.
07-007	George Douglas Papers Folder 4- Correspondence.pdf	7	later identifying slip	1	0	initial AI visual reading of supplied scan	This later note supplies a tentative year. It is not a contemporaneous letter date.
07-008	George Douglas Papers Folder 4- Correspondence.pdf	8	letter	1	0	initial AI visual reading of supplied scan	Continues on 07-009. Year not written; the later slip suggests 1863.
07-009	George Douglas Papers Folder 4- Correspondence.pdf	9	letter continuation	1	1	initial AI visual reading of supplied scan	Concludes the letter on 07-008. The first comb appears crossed out and repeated.
07-010	George Douglas Papers Folder 4- Correspondence.pdf	10	envelope and identifying slip	2	0	initial AI visual reading of supplied scan	The original envelope is distinct from the later identifying slip. The endorsement January 31 does not change the letter’s January 22 date.
07-011	George Douglas Papers Folder 4- Correspondence.pdf	11	letter	3	2	initial AI visual reading of supplied scan	Main text continues on 07-012. The marginal remark’s ending is cramped and uncertain. Andrews is a tentative reading.
07-012	George Douglas Papers Folder 4- Correspondence.pdf	12	letter continuation	3	4	initial AI visual reading of supplied scan	Concludes 07-011. Several names and the parenthetical phrase are unclear. The report about Galveston is explicitly hearsay, and its named figure is not silently substituted with a historical commander.
07-013	George Douglas Papers Folder 4- Correspondence.pdf	13	later identifying slip	1	0	initial AI visual reading of supplied scan	Later catalog summary, not part of Lizzie’s original letter. Jim and Cynthia as the recipients of Henry’s letter are the annotator’s identification.
07-014	George Douglas Papers Folder 4- Correspondence.pdf	14	later typescript of letter	3	0	initial AI visual reading of supplied scan	Later typescript included among the university’s scans, not an autograph manuscript. This is an independent reading of that typescript. Typewriter correction strokes and visibly cancelled miskeys are omitted when the replacement is clear; substantive wording and remaining typographical errors are retained. Continues on 07-015. The question mark after Ft. Donaldson is in the typescript. Handwritten counterparts are preserved in reading order at 07-024, 026, 027, 028, 029, 025; differences remain visible in the separate records.
07-015	George Douglas Papers Folder 4- Correspondence.pdf	15	later typescript of letter	3	0	initial AI visual reading of supplied scan	Later typescript included among the university’s scans, not an autograph manuscript. This is an independent reading of that typescript. Typewriter correction strokes and visibly cancelled miskeys are omitted when the replacement is clear; substantive wording and remaining typographical errors are retained. Continuation of 07-014; continues on 07-016. Mark and get out cloth are retained as typed, not silently changed to textile terms. Handwritten counterparts are preserved in reading order at 07-024, 026, 027, 028, 029, 025; differences remain visible in the separate records.
07-016	George Douglas Papers Folder 4- Correspondence.pdf	16	later typescript of letter	4	0	initial AI visual reading of supplied scan	Later typescript included among the university’s scans, not an autograph manuscript. This is an independent reading of that typescript. Typewriter correction strokes and visibly cancelled miskeys are omitted when the replacement is clear; substantive wording and remaining typographical errors are retained. Continues 07-015. The leader is not named here. A separate loom paragraph at 07-018 may belong with this text, but scan sequence alone does not prove it. Handwritten counterparts are preserved in reading order at 07-024, 026, 027, 028, 029, 025; differences remain visible in the separate records.
07-017	George Douglas Papers Folder 4- Correspondence.pdf	17	later typescript of letter	1	0	initial AI visual reading of supplied scan	Later typescript included among the university’s scans, not an autograph manuscript. This is an independent reading of that typescript. Typewriter correction strokes and visibly cancelled miskeys are omitted when the replacement is clear; substantive wording and remaining typographical errors are retained. A whole row of question marks is already present in the typescript; it is not a new omission introduced here. Some faint letters are read from the visible type. The autograph counterpart is 07-031; the damaged line remains unreadable in the manuscript as well.
07-018	George Douglas Papers Folder 4- Correspondence.pdf	18	later typescript fragment	1	0	initial AI visual reading of supplied scan	Later typescript included among the university’s scans, not an autograph manuscript. This is an independent reading of that typescript. Typewriter correction strokes and visibly cancelled miskeys are omitted when the replacement is clear; substantive wording and remaining typographical errors are retained. The handwritten counterpart is 07-025, the final leaf of the February 10–14 letter. This typed fragment is undated but can now be associated with that letter.
07-019	George Douglas Papers Folder 4- Correspondence.pdf	19	later typescript fragment	1	0	initial AI visual reading of supplied scan	A later typed page, independently read as supplied. Obvious cancelled typewriter miskeys omitted; anout is retained. The handwritten counterpart is the end of 07-031 and beginning of 07-032, part of the May 7–8 letter. The manuscript reads Jeffie and Buck Creek where this typescript reads Jessie and Brick Creek.
07-020	George Douglas Papers Folder 4- Correspondence.pdf	20	later identifying slip	1	0	initial AI visual reading of supplied scan	Susanne Douglas Bell is proposed by the annotator with a question mark and possibly. It is not a confirmed authorship attribution.
07-021	George Douglas Papers Folder 4- Correspondence.pdf	21	letter fragment	1	3	initial AI visual reading of supplied scan	Opening is a continuation; compare 07-023. Final names are cramped. The sequence 28th then 26th is retained. Fayette and Jim’s capture is expressed as a possibility.
07-022	George Douglas Papers Folder 4- Correspondence.pdf	22	later identifying slip	1	0	initial AI visual reading of supplied scan	Question mark and possibly are in the identifying note.
07-023	George Douglas Papers Folder 4- Correspondence.pdf	23	letter	3	3	initial AI visual reading of supplied scan	Year not written on this page; the later note suggests 1863. Continuation appears earlier in the scan at 07-021. The opening to Mrs. Swann’s troubles is torn and uncertain.
07-024	George Douglas Papers Folder 4- Correspondence.pdf	24	manuscript letter	2	2	initial AI visual reading of supplied scan	Autograph counterpart to the opening of typescript 07-014. Jeffie, rather than the typescript’s Jessie, is the manuscript reading. Aunt Rebecca’s surname is partly crossed by a fold. The letter continues at 07-026; 07-025 belongs later in its text.
07-025	George Douglas Papers Folder 4- Correspondence.pdf	25	manuscript	2	1	initial AI visual reading of supplied scan	Final leaf of the February 10–14 letter. Reading order: 07-024, 026, 027, 028, 029, 025. The corresponding later typescript is divided between 07-016 and 07-018; the loom fragment belongs to this letter.
07-026	George Douglas Papers Folder 4- Correspondence.pdf	26	manuscript	3	1	initial AI visual reading of supplied scan	Continues 07-024 and is followed by 07-027. A place name before Bluff is cancelled and Pine is inserted above. Henry’s report is secondhand news of Fayette and Jim, not confirmation of their later fate.
07-027	George Douglas Papers Folder 4- Correspondence.pdf	27	manuscript	1	1	initial AI visual reading of supplied scan	Continues 07-026, followed by 07-028. Opening given name is uncertain. The manuscript reads warp it; the later typescript’s differing word should not replace it.
07-028	George Douglas Papers Folder 4- Correspondence.pdf	28	manuscript	1	0	initial AI visual reading of supplied scan	Continues 07-027, followed by 07-029. The Leader is unnamed on this page; do not assign a specific officer without corroboration.
07-029	George Douglas Papers Folder 4- Correspondence.pdf	29	manuscript	2	0	initial AI visual reading of supplied scan	Continues 07-028, followed by 07-025. “utencils” and the phrase “lowest high privates” are retained. Receipt annotation is in the upper margin.
07-030	George Douglas Papers Folder 4- Correspondence.pdf	30	later identifying slip	1	0	initial AI visual reading of supplied scan	The racial descriptor is the later annotator’s wording, reproduced for documentary accuracy.
07-031	George Douglas Papers Folder 4- Correspondence.pdf	31	manuscript	1	1	initial AI visual reading of supplied scan	First autograph leaf of the May 7–8 letter; continues through 07-034. One line at the horizontal fold remains unreadable. The typed counterpart at 07-017 also leaves a gap. The claim about four hundred men is explicitly unverified by the writer.
07-032	George Douglas Papers Folder 4- Correspondence.pdf	32	manuscript	2	2	initial AI visual reading of supplied scan	Continues 07-031, followed by 07-033. Manuscript reads Jeffie and Buck Creek where typescript 07-019 has Jessie and Brick Creek. A word describing the pump’s motion is uncertain. Lost text concerning preparation of wool is not supplied.
07-033	George Douglas Papers Folder 4- Correspondence.pdf	33	manuscript	2	0	initial AI visual reading of supplied scan	Continues 07-032, followed by 07-034. This page was inverted in the scan. Cousin’s name reads Robert Jetton, not Jackson. The writer distinguishes reported information from her doubts about the number captured. The racist and proslavery arguments are preserved as her historical views, not editorial assertions. Uncle Louis’s identity and precise kinship are not independently established by this leaf.
07-034	George Douglas Papers Folder 4- Correspondence.pdf	34	manuscript	2	0	initial AI visual reading of supplied scan	Final page of the May 7–8 letter. Lizzie signs the main letter; Susanna Bell signs the added note. Livinia is the spelling read here. The place name Alexandria is divided across lines. Local marriage and property news is introduced as report or gossip. The unsigned later attribution at 07-020 should not override these signatures.
07-035	George Douglas Papers Folder 4- Correspondence.pdf	35	later identifying slip	1	0	initial AI visual reading of supplied scan	
07-036	George Douglas Papers Folder 4- Correspondence.pdf	36	manuscript	1	5	initial AI visual reading of supplied scan	First leaf of the April 2–3 letter, continuing 07-037–039. A few letters are clipped at the right edge. Letter No. 9 is written here as well as on the February letter; the source’s numbering is retained, not silently renumbered.
07-037	George Douglas Papers Folder 4- Correspondence.pdf	37	manuscript	1	0	initial AI visual reading of supplied scan	Continues 07-036, followed by 07-038. Statements about conscription, Lincoln’s intentions and prospects for peace are the writer’s contemporary understanding and opinion.
07-038	George Douglas Papers Folder 4- Correspondence.pdf	38	manuscript	2	0	initial AI visual reading of supplied scan	Continues 07-037, followed by 07-039. Land allocations are described as cultivation arrangements; this page alone does not establish legal ownership. Penee is the name as read and may be a short form.
07-039	George Douglas Papers Folder 4- Correspondence.pdf	39	manuscript	2	1	initial AI visual reading of supplied scan	Final leaf of April 2–3 letter. In the sentence about Graves, “can deny” is retained as read although “cannot deny” might be expected. The joke uses a difficult phrase read tentatively as counchie shoulder; no exact meaning or corrected wording is supplied. The next sentence names Evans in connection with the joke. The quotation runs along the lower and side margins.
07-040	George Douglas Papers Folder 4- Correspondence.pdf	40	later identifying slip	1	0	initial AI visual reading of supplied scan	
07-041	George Douglas Papers Folder 4- Correspondence.pdf	41	manuscript	1	5	initial AI visual reading of supplied scan	Beginning of Laura’s letter (signature at 07-047), physically inverted in scan. The lower portion is repeated and extended at 07-042. Reports about Lincoln and military movements are explicitly contemporary hearsay; the supposed killing of Lincoln in this January 1863 letter is a false rumor, not the later assassination. Names and the small numeral before Lancaster remain uncertain.
07-042	George Douglas Papers Folder 4- Correspondence.pdf	42	overlapping manuscript view	1	5	initial AI visual reading of supplied scan	Repeats the lower portion of 07-041 and adds the sentences about the horses. This is one letter, not a second report or independent witness. The sentence continues at 07-043.
07-043	George Douglas Papers Folder 4- Correspondence.pdf	43	manuscript	1	6	initial AI visual reading of supplied scan	Continues 07-042, with lower section repeated and extended at 07-044. Names at the parties and of one conscription resister are uncertain. The source reads tow life, likely intended as low life, but is preserved. Statements about enrollment and a proposed age limit are the writer’s reports, not a checked account of law.
07-044	George Douglas Papers Folder 4- Correspondence.pdf	44	overlapping manuscript view	1	2	initial AI visual reading of supplied scan	Repeats and extends the bottom of 07-043. “There will bread the” is the apparent wording at the edge; the syntax is incomplete, and the next scan starts “The country”. It is not silently repaired in the direct transcript.
07-045	George Douglas Papers Folder 4- Correspondence.pdf	45	manuscript	2	3	initial AI visual reading of supplied scan	Continues 07-044. Lower section repeated and extended at 07-046. Friday 30 replaces Thursday 30 in the date. The phrase “nothing way to get it” is retained as read; likely omitted wording is not supplied. Statements about Squire Orr’s sons are contemporary reports. “Cards” here are tools for preparing fibers for spinning.
07-046	George Douglas Papers Folder 4- Correspondence.pdf	46	overlapping manuscript view	1	1	initial AI visual reading of supplied scan	Repeats the lower section of 07-045 and supplies the end of this paragraph. The main letter’s closing is at 07-047.
07-047	George Douglas Papers Folder 4- Correspondence.pdf	47	manuscript	5	4	initial AI visual reading of supplied scan	Closing of Laura’s January 28–30 letter, followed by notes from Sue and Lizzie. The last note’s lower portion is repeated and extended at 07-048. Its final sentence then continues around this page’s margins. The names Phony and Phrony are both retained as written; no separate identity is inferred. Some initials and names remain tentative.
07-048	George Douglas Papers Folder 4- Correspondence.pdf	48	overlapping manuscript view	3	2	initial AI visual reading of supplied scan	Repeats the lower note from 07-047 and extends it. The line “O for his hopes were all vain” is the apparent wording but is syntactically awkward; no emendation is made. Marginal continuation is visible more fully at 07-047.
07-049	George Douglas Papers Folder 4- Correspondence.pdf	49	later identifying slip	1	1	initial AI visual reading of supplied scan	The final year digit on this later note resembles 9. The companion letter at 07-052 is dated January 26, 1863; the apparent disagreement is preserved, not silently corrected.
07-050	George Douglas Papers Folder 4- Correspondence.pdf	50	manuscript	1	2	initial AI visual reading of supplied scan	First leaf of Joda’s note, signed on 07-051, accompanying George’s January 26, 1863 letter. The cotton-work verb is faded. Yardage is read tentatively as 54 per bolt; compare George’s statement of over 100 yards of each material at 07-053. The sentence concerning washing out the stain is awkward and retained rather than repaired in the direct transcript.
07-051	George Douglas Papers Folder 4- Correspondence.pdf	51	manuscript	1	2	initial AI visual reading of supplied scan	Continuation and signature of 07-050. “Upwards of Sixty yds” does not explicitly say per bolt here; it is left as written. Prices are cents in the source, without specifying currency. “Stock” refers to the jointly purchased cloth in this context.
07-052	George Douglas Papers Folder 4- Correspondence.pdf	52	manuscript	1	1	initial AI visual reading of supplied scan	First leaf of George’s companion letter, signed on 07-053. “That” and “No. one” are the writer’s expressions and not identified here. The soap factory name is uncertain.
07-053	George Douglas Papers Folder 4- Correspondence.pdf	53	manuscript	1	4	initial AI visual reading of supplied scan	Concludes 07-052. Opening is faded and continues the question about military unit. The short phrase after Wax is uncertain. The text says over 100 yards of each material, while Joda’s account at 07-050–051 gives details whose exact quantities are uncertain; these are preserved separately. N. L. D. is a shipping mark, not expanded to an ownership claim.
07-054	George Douglas Papers Folder 4- Correspondence.pdf	54	later identifying slip	1	0	initial AI visual reading of supplied scan	
07-055	George Douglas Papers Folder 4- Correspondence.pdf	55	manuscript	1	3	initial AI visual reading of supplied scan	First page of a homecoming letter, continued and signed on 07-056. One travel stop is abbreviated or incomplete, and the unit/name in the last sentence is uncertain. The recipient and date agree with identifying slip 07-054.
07-056	George Douglas Papers Folder 4- Correspondence.pdf	56	manuscript	3	16	initial AI visual reading of supplied scan	Continuation of 07-055. Lower lines are heavily faded; an original embedded image and increased-contrast view were inspected, but several passages remain unreadable. Tentative phrases are not presented as secure readings. Later slip 07-054 identifies G. M. Beall. The Bible citation appears corrected from Romans to First Corinthians, chapter 3; no verse is supplied.
07-057	George Douglas Papers Folder 4- Correspondence.pdf	57	later identifying slip	1	0	initial AI visual reading of supplied scan	
07-058	George Douglas Papers Folder 4- Correspondence.pdf	58	manuscript	3	1	initial AI visual reading of supplied scan	Contains the end of Lizzie’s note and an added note signed Sue. The date February 15 is supplied by the identifying slip; the year 1863 appears as a corner annotation, and the connected receipt at 07-059 reads February 26, 1863. The statement that Father is sixty-two could support a February 15, 1801 birth date if this dating and the father’s identity are confirmed. It does not by itself identify his father or birthplace. The quoted sister Jane phrase is retained as read.
07-059	George Douglas Papers Folder 4- Correspondence.pdf	59	manuscript	2	0	initial AI visual reading of supplied scan	Marked Page 7th, continuing on 07-060. It belongs before the concluding notes at 07-058 in reading order; source scan order is retained in the page IDs. “Consumption” is explained by the continuation as a joke about eating, not a diagnosis.
07-060	George Douglas Papers Folder 4- Correspondence.pdf	60	manuscript	1	1	initial AI visual reading of supplied scan	Continues 07-059; followed in reading order by the concluding notes on 07-058. Harman/Harmon are retained as written. The account of his death is relayed through Mr. Crum’s letter from Charly, and the writer closes with an explicit qualification. Neither the money nor the journal is described as recovered.
07-061	George Douglas Papers Folder 4- Correspondence.pdf	61	later identifying slip	1	0	initial AI visual reading of supplied scan	The manuscript heading at 07-062 is tentatively read March 30th, whereas this later identifying slip says March 20. The two witnesses are not silently reconciled.
07-062	George Douglas Papers Folder 4- Correspondence.pdf	62	manuscript	1	7	initial AI visual reading of supplied scan	Letter No. 64, continued on 07-063. The autograph date appears to be March 30, while later slip 07-061 says March 20; the reading remains tentative. The opening cold-related sentences are faded. Military reports and the digest of Confederate measures are George’s account, not independently verified legal text. The phrase field hands refers here to enslaved laborers counted for an owner’s exemption. The final quantity and wording are uncertain.
07-063	George Douglas Papers Folder 4- Correspondence.pdf	63	manuscript	1	5	initial AI visual reading of supplied scan	Continuation of 07-062. The currency tax percentage is tentative in this faded handwriting. Commentary on civil liberties and government power is the writer’s opinion. Prisoners’ names and the correction from three to two men wearing large balls are preserved. “Old Mag” is not expanded to a specific person here. Final line is too faded for a reliable reading.
07-064	George Douglas Papers Folder 4- Correspondence.pdf	64	later identifying slip	1	0	initial AI visual reading of supplied scan	
07-065	George Douglas Papers Folder 4- Correspondence.pdf	65	manuscript	2	2	initial AI visual reading of supplied scan	Letter continues on 07-066–068. The final line is too faded to recover. “Tel” is the writer’s abbreviated newspaper reference. Military news and reported promises are his account, not independently verified facts.
07-066	George Douglas Papers Folder 4- Correspondence.pdf	66	manuscript	2	2	initial AI visual reading of supplied scan	Continuation of 07-065; sentence continues on 07-067. The first phrase appears to read “one or three”; it is not regularized to “two or three.” Duration of the barrel punishment and the final word/name are uncertain. “Paddies” is the writer’s derogatory term for Irish soldiers. All incidents are narrated from his perspective.
07-067	George Douglas Papers Folder 4- Correspondence.pdf	67	manuscript	2	1	initial AI visual reading of supplied scan	Continuation of 07-066. Opening syntax and the reading “carried” are uncertain; the family version flags this rather than silently repairing it. The comparison with an overseer explicitly invokes slavery. “Hard shell Baptist” is the writer’s religious comparison; no denominational identity is inferred for Warren.
07-068	George Douglas Papers Folder 4- Correspondence.pdf	68	manuscript	4	2	initial AI visual reading of supplied scan	Conclusion of January 11, 1864 letter, 07-065–068. Criticism of impressment, military losses, oaths, and newspaper reporting are George’s opinions. The name or pseudonym near the end and the phrase describing the proclamation remain uncertain. The letter does not establish the predicted casualty total as historical fact.
07-069	George Douglas Papers Folder 4- Correspondence.pdf	69	filing slip	1	0	initial AI visual reading of supplied scan	Later identifying slip; the letter follows on 07-070–073.
07-070	George Douglas Papers Folder 4- Correspondence.pdf	70	manuscript	2	13	initial AI visual reading of supplied scan	Main letter continues through 07-073. Heavy reversed show-through crosses the writing; several clauses remain unreadable even in enlarged native scan crops. Place name of the bay, some marching details, and letter number are uncertain. The letter is dated at Manhassett but describes a march to Calcasieu and a subsequent engagement; it does not place the whole battle at Manhassett.
07-071	George Douglas Papers Folder 4- Correspondence.pdf	71	manuscript	2	5	initial AI visual reading of supplied scan	Continuation of 07-070. Artillery commander’s spelling and some company designations are tentative. The tactical division and strength are reported by the writer. “Beeves” means cattle; “grape” means grapeshot.
07-072	George Douglas Papers Folder 4- Correspondence.pdf	72	manuscript	3	6	initial AI visual reading of supplied scan	Continuation of 07-071; main text continues on 07-073. Several phrases are awkward or obscured; they are not silently reconstructed. “Minny,” “minnie,” and “minies” refer here to rifle ammunition. Inverted upper-margin text concludes the letter after the inverted margin on 07-073. Casualty numbers are the writer’s provisional figures, not independently established totals.
07-073	George Douglas Papers Folder 4- Correspondence.pdf	73	manuscript	3	9	initial AI visual reading of supplied scan	Continuation of 07-072. The inverted upper margin precedes the inverted margin on 07-072, where George signs. This eyewitness account includes graphic descriptions of casualties. Names Sprinkle, Iglehart, Burrell, and one company designation are tentative. George explicitly distinguishes what he saw from what he thinks happened after a death. Gun and prisoner counts are his reported figures.
07-074	George Douglas Papers Folder 4- Correspondence.pdf	74	filing slip	1	0	initial AI visual reading of supplied scan	Later filing slip; letter follows.
07-075	George Douglas Papers Folder 4- Correspondence.pdf	75	manuscript	2	2	initial AI visual reading of supplied scan	Letter continues on 07-076. Letter number appears to be 77, matching the slip 07-074, but the final digit is not fully clear. The awkward sentence about vegetables and the writer’s technical description are preserved as read; neither is independently verified. Bottom line remains difficult.
07-076	George Douglas Papers Folder 4- Correspondence.pdf	76	manuscript	2	5	initial AI visual reading of supplied scan	Continuation of 07-075. Opening legal-business passage, the Lo Co label, and one reported army commander’s name are uncertain. “Belle Lettres” is the wording as read. The writer’s views of compulsory service and reports about military movements are retained as his statements.
07-077	George Douglas Papers Folder 4- Correspondence.pdf	77	filing slip	1	0	initial AI visual reading of supplied scan	Later filing slip. The question mark is on the slip; no year is supplied. The following letter mentions the captured Calcasieu vessels but is not given a certain year solely from this slip.
07-078	George Douglas Papers Folder 4- Correspondence.pdf	78	manuscript	2	8	initial AI visual reading of supplied scan	Continues on 07-079. Paper loss and ink interference obscure part of the clothing request. The year is unstated. Names and several phrases are tentative; the family text does not reconstruct them. “Drawers” means undergarments.
07-079	George Douglas Papers Folder 4- Correspondence.pdf	79	manuscript	2	1	initial AI visual reading of supplied scan	Conclusion of 07-078. The boats’ status, firing, and charges against Griffin are Bell’s reports. No year is written on these two pages. The phrase after “a few days” is obscured.
07-080	George Douglas Papers Folder 4- Correspondence.pdf	80	filing slip	1	1	initial AI visual reading of supplied scan	Later filing slip. The compressed surname appears to be Winniford; compare the clearer filing slip 07-085. The following letter signs only Rebecca.
07-081	George Douglas Papers Folder 4- Correspondence.pdf	81	manuscript	1	1	initial AI visual reading of supplied scan	Letter continues on 07-082–084 and is signed Rebecca. The reference to a reception or welcome is uncertain; the event and people involved are not identified on this page.
07-082	George Douglas Papers Folder 4- Correspondence.pdf	82	manuscript	2	1	initial AI visual reading of supplied scan	Continuation of 07-081. “United” and the hope that Norvell avoids military service are explicit; no additional political affiliation is inferred.
07-083	George Douglas Papers Folder 4- Correspondence.pdf	83	manuscript	2	2	initial AI visual reading of supplied scan	Continuation of 07-082. The name Fanny and following pronoun are faint. Roberson Rocket is transcribed as written without adding a second t or inferring kinship. The crop discussion continues on 07-084 and explicitly concerns enslaved people forcibly moved into the area.
07-084	George Douglas Papers Folder 4- Correspondence.pdf	84	manuscript	2	1	initial AI visual reading of supplied scan	Conclusion of 07-081–083. The reading “three hundred” is tentative and its referent is not established. The hiring out of enslaved people is described from the enslavers’ perspective in the manuscript; the family reading makes that status explicit.
